date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,station_id,station_name,region_name,province_name,latitude,longitude,year,month,month_name,year_month,is_dry_season,season,is_dry_day,is_extreme_heat,is_low_humidity,fire_danger_day
2010-01-01,24.0,31.2,26.6,91.0,4.7,5.0,6.0,100.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-02,24.0,31.9,27.3,88.0,1.0,4.2,3.0,180.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-03,24.0,32.2,27.0,87.0,88.1,6.2,6.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-04,24.0,30.1,26.2,91.0,0.1,2.1,4.0,180.0,0.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-05,23.0,31.5,26.6,89.0,44.4,0.3,9.0,180.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-06,23.0,31.2,26.1,85.0,0.0,3.7,5.0,300.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-07,23.0,30.2,26.0,92.0,0.3,0.3,9.0,360.0,0.0,S ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-08,23.0,31.2,26.2,86.0,0.0,1.1,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-09,22.0,32.8,26.5,86.0,0.0,3.4,7.0,30.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-10,23.0,30.6,25.7,84.0,0.0,4.5,6.0,10.0,1.0,NE,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-11,25.0,31.4,26.5,86.0,3.9,2.3,8.0,180.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-12,24.0,30.0,26.6,89.0,102.5,1.0,6.0,360.0,1.0,NW,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-13,24.0,29.1,24.9,97.0,45.6,0.0,6.0,360.0,0.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-14,24.0,25.0,24.5,98.0,14.5,0.0,3.0,360.0,0.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-15,25.0,30.2,26.2,90.0,0.0,1.8,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-16,25.0,30.0,26.3,87.0,5.8,1.9,10.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-17,24.0,28.0,25.4,93.0,58.0,1.4,10.0,360.0,3.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-18,23.0,27.1,25.2,94.0,11.8,0.0,9.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-19,23.0,30.2,26.3,88.0,0.0,7.0,6.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-20,23.0,32.2,26.4,88.0,0.0,8.0,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-21,23.0,32.8,27.2,86.0,0.0,5.8,6.0,340.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-22,23.0,31.6,26.9,88.0,0.0,5.1,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-23,24.0,32.2,26.8,86.0,0.0,1.4,8.0,360.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-24,23.0,31.8,26.6,87.0,0.0,7.1,8.0,360.0,3.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-25,23.0,28.1,25.5,95.0,22.8,0.0,8.0,50.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-26,24.0,32.2,26.4,88.0,0.0,5.9,11.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-27,23.0,27.2,24.8,94.0,1.3,0.0,8.0,10.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-01-28,23.0,32.0,26.1,91.0,57.2,5.6,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-29,23.0,27.4,25.0,96.0,13.8,0.0,2.0,90.0,0.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-30,23.0,30.5,25.8,91.0,4.4,2.5,6.0,60.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),0,0,0,0
2010-01-31,24.0,29.2,25.3,92.0,0.0,0.0,7.0,360.0,0.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,1,Jan,2010-01,0,Wet Season (Nov-May),1,0,0,0
2010-02-01,24.0,31.6,26.7,86.0,0.0,2.0,8.0,10.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-02,24.0,30.6,26.0,92.0,2.5,3.4,8.0,270.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-03,24.0,31.8,26.8,87.0,0.0,1.4,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-04,24.0,32.1,26.7,87.0,0.0,5.6,7.0,360.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-05,22.0,32.0,26.9,87.0,0.0,2.2,7.0,160.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-06,24.0,32.7,26.6,90.0,4.5,0.9,7.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-07,24.0,32.7,27.4,89.0,12.0,5.0,6.0,350.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-08,24.0,31.6,26.8,89.0,0.0,0.3,5.0,90.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-09,24.0,31.3,26.8,90.0,25.2,4.2,6.0,20.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-10,24.0,29.8,25.7,93.0,9.2,0.7,7.0,360.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-11,23.0,31.5,26.5,88.0,0.0,4.6,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-12,23.0,30.2,26.3,93.0,8.4,1.4,7.0,30.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-13,24.0,31.2,26.7,87.0,0.3,6.0,10.0,10.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-14,25.0,30.5,26.9,88.0,2.7,0.6,8.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-15,23.0,27.5,26.1,94.0,3.0,0.0,3.0,360.0,0.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-16,24.0,27.1,25.3,92.0,7.2,0.0,5.0,60.0,1.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
2010-02-17,23.0,29.4,26.0,90.0,0.0,0.0,8.0,30.0,2.0,S ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-18,25.0,30.9,26.8,86.0,0.0,2.6,9.0,360.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),1,0,0,0
2010-02-19,24.0,30.4,26.8,88.0,44.0,0.4,10.0,10.0,2.0,N ,96535,Stasiun Meteorologi Paloh,Kab. Sambas,Kalimantan Barat,1.74,109.3,2010,2,Feb,2010-02,0,Wet Season (Nov-May),0,0,0,0
