date,city,province,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,et0_fao_evapotranspiration,vapor_pressure_deficit_max,shortwave_radiation_sum,sunshine_hours,is_dry_day,high_fire_danger,month,year,season
2024-08-01,Ketapang,Kalimantan Barat,-1.8432,109.974,30.4,24.1,26.3,10.3,10.3,13.6,29.2,91,100,73,3.55,1.16,17.52,7.89,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-02,Ketapang,Kalimantan Barat,-1.8432,109.974,30.5,23.8,25.7,6.1,6.1,12.4,29.5,90,97,69,3.64,1.33,18.57,9.27,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-03,Ketapang,Kalimantan Barat,-1.8432,109.974,29.4,24.0,25.9,7.5,7.5,14.9,39.6,90,97,75,3.65,1.04,18.93,10.02,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-04,Ketapang,Kalimantan Barat,-1.8432,109.974,30.7,23.9,26.8,2.1,2.1,20.4,46.1,81,93,64,4.51,1.58,20.95,11.44,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-05,Ketapang,Kalimantan Barat,-1.8432,109.974,31.4,23.2,27.2,0.0,0.0,16.5,36.7,76,93,51,5.19,2.22,22.94,11.7,1,0,8,2024,Dry Season (Jun-Oct)
2024-08-06,Ketapang,Kalimantan Barat,-1.8432,109.974,31.4,24.3,27.4,0.4,0.4,18.0,39.6,77,89,57,4.94,1.95,21.56,11.17,1,0,8,2024,Dry Season (Jun-Oct)
2024-08-07,Ketapang,Kalimantan Barat,-1.8432,109.974,27.7,23.9,25.6,22.2,22.2,15.9,35.6,91,100,83,2.25,0.58,10.81,3.78,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-08,Ketapang,Kalimantan Barat,-1.8432,109.974,30.8,23.5,26.2,11.2,11.2,20.1,40.7,90,100,69,3.97,1.37,19.77,9.12,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-09,Ketapang,Kalimantan Barat,-1.8432,109.974,30.9,23.5,27.0,8.4,8.4,17.8,38.2,84,100,65,4.06,1.57,19.18,8.58,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-10,Ketapang,Kalimantan Barat,-1.8432,109.974,30.4,25.0,27.4,1.1,1.1,20.8,47.2,77,87,63,4.93,1.59,21.5,11.37,1,0,8,2024,Dry Season (Jun-Oct)
2024-08-11,Ketapang,Kalimantan Barat,-1.8432,109.974,29.9,24.6,26.8,1.3,1.3,15.5,39.2,80,86,69,4.32,1.3,19.71,11.1,1,0,8,2024,Dry Season (Jun-Oct)
2024-08-12,Ketapang,Kalimantan Barat,-1.8432,109.974,30.7,23.9,27.1,0.5,0.5,17.8,39.6,76,85,60,4.78,1.77,20.44,9.05,1,0,8,2024,Dry Season (Jun-Oct)
2024-08-13,Ketapang,Kalimantan Barat,-1.8432,109.974,30.5,24.7,26.9,4.9,4.9,18.3,36.4,81,99,69,4.26,1.36,19.25,11.04,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-14,Ketapang,Kalimantan Barat,-1.8432,109.974,30.7,25.1,27.4,1.5,1.5,23.0,51.8,80,89,65,4.44,1.55,19.86,10.78,1,0,8,2024,Dry Season (Jun-Oct)
2024-08-15,Ketapang,Kalimantan Barat,-1.8432,109.974,30.7,25.0,26.9,3.5,3.5,17.9,44.6,84,95,67,4.09,1.41,19.29,9.73,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-16,Ketapang,Kalimantan Barat,-1.8432,109.974,29.4,24.7,26.1,2.4,2.4,14.1,34.6,88,95,72,3.28,1.13,16.06,6.74,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-17,Ketapang,Kalimantan Barat,-1.8432,109.974,31.7,24.1,26.8,1.7,1.7,14.8,34.6,86,96,64,4.25,1.66,20.54,10.25,1,0,8,2024,Dry Season (Jun-Oct)
2024-08-18,Ketapang,Kalimantan Barat,-1.8432,109.974,30.3,24.4,26.4,4.0,4.0,18.3,42.5,88,97,71,3.72,1.24,18.63,9.06,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-19,Ketapang,Kalimantan Barat,-1.8432,109.974,29.9,24.3,26.2,3.1,3.1,14.1,34.2,88,97,72,3.8,1.2,19.02,11.0,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-20,Ketapang,Kalimantan Barat,-1.8432,109.974,29.7,24.3,26.1,14.0,14.0,13.5,36.0,88,100,72,3.55,1.15,17.8,10.44,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-21,Ketapang,Kalimantan Barat,-1.8432,109.974,25.3,23.9,24.2,54.5,54.5,11.5,23.0,98,100,93,0.83,0.23,4.02,0.29,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-22,Ketapang,Kalimantan Barat,-1.8432,109.974,28.0,23.3,25.0,6.5,6.5,11.8,25.2,94,100,83,2.32,0.63,11.69,2.65,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-23,Ketapang,Kalimantan Barat,-1.8432,109.974,29.8,22.6,25.6,5.4,5.4,15.5,34.9,90,100,69,3.51,1.29,17.36,7.11,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-24,Ketapang,Kalimantan Barat,-1.8432,109.974,29.8,23.1,26.0,10.9,10.9,14.9,35.6,88,100,68,3.81,1.35,19.04,9.19,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-25,Ketapang,Kalimantan Barat,-1.8432,109.974,30.2,23.5,26.0,4.1,4.1,14.0,35.6,88,100,64,3.65,1.55,18.12,8.3,0,0,8,2024,Dry Season (Jun-Oct)
2024-08-26,Ketapang,Kalimantan Barat,-1.8432,109.974,30.8,24.3,26.9,1.4,1.4,17.9,40.7,82,92,63,4.38,1.62,20.06,10.48,1,0,8,2024,Dry Season (Jun-Oct)
