latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,khg_id,nama_khg,provinsi,kabupaten,peat_depth,depth_cm,fungsi_zona,luas_ha,is_peatland,peat_hazard_multiplier,nearest_station_city,nearest_station_province,station_dist_km,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_temperature_0_to_7cm
-2.06932,110.9148,342.89,0.52,0.41,2024-08-01,545,N20,VIIRS,n,2,295.59,32.35,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pangkalan Bun,Kalimantan Tengah,105.28522943250138,0.23,0.152,0.191,26.5
-2.06552,110.91424,335.58,0.52,0.41,2024-08-01,545,N20,VIIRS,n,2,298.05,60.85,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pangkalan Bun,Kalimantan Tengah,105.61224178383836,0.23,0.152,0.191,26.5
-1.53228,114.34785,332.34,0.39,0.36,2024-08-01,545,N20,VIIRS,n,2,296.86,2.77,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Palangkaraya,Kalimantan Tengah,89.83963072764095,0.285,0.242,0.315,27.5
-0.87858,115.03748,334.21,0.38,0.36,2024-08-01,545,N20,VIIRS,n,2,296.66,2.61,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Palangkaraya,Kalimantan Tengah,193.89826280306124,0.285,0.242,0.315,27.5
-0.87527,115.03698,342.37,0.38,0.36,2024-08-01,545,N20,VIIRS,n,2,298.42,14.55,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Palangkaraya,Kalimantan Tengah,194.1434401174076,0.285,0.242,0.315,27.5
-3.74356,116.303,333.92,0.39,0.36,2024-08-01,545,N20,VIIRS,n,2,297.45,3.05,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Banjarbaru,Kalimantan Selatan,167.4193162063732,0.523,0.408,0.493,28.2
-3.52549,115.14515,331.23,0.38,0.36,2024-08-01,545,N20,VIIRS,n,2,297.71,3.6,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Banjarbaru,Kalimantan Selatan,36.67589474042349,0.523,0.408,0.493,28.2
-3.05374,115.3037,332.52,0.38,0.36,2024-08-01,545,N20,VIIRS,n,2,296.41,3.42,D,0,KHG_KS_03,KHG S. Tapin - S. Muning,KALIMANTAN SELATAN,Tapin,Sedang (100-200 cm),160,Fungsi Budidaya Ekosistem Gambut,71800.0,1,1.15,Banjarbaru,Kalimantan Selatan,68.90904438552096,0.523,0.408,0.493,28.2
-2.48619,114.77135,343.79,0.38,0.36,2024-08-01,545,N20,VIIRS,n,2,297.67,4.4,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Banjarmasin,Kalimantan Selatan,94.6587035371741,0.285,0.239,0.308,27.7
-2.45777,114.73542,335.4,0.38,0.36,2024-08-01,545,N20,VIIRS,n,2,298.09,4.1,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Palangkaraya,Kalimantan Tengah,95.4642577424321,0.285,0.242,0.315,27.5
-2.82847,111.65768,329.38,0.48,0.4,2024-08-01,545,N20,VIIRS,n,2,296.37,2.58,D,0,KHG_KT_06,KHG S. Arut - S. Kumai,KALIMANTAN TENGAH,Kotawaringin Barat,Dalam (200-300 cm),250,Fungsi Lindung Ekosistem Gambut,198500.0,1,1.25,Pangkalan Bun,Kalimantan Tengah,14.812125191723739,0.23,0.152,0.191,26.5
-2.21428,115.51498,335.58,0.39,0.36,2024-08-01,545,N20,VIIRS,n,2,300.64,2.9,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Banjarbaru,Kalimantan Selatan,156.93943551194113,0.523,0.408,0.493,28.2
-2.67088,111.13358,329.48,0.51,0.41,2024-08-01,545,N20,VIIRS,n,2,294.74,4.81,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pangkalan Bun,Kalimantan Tengah,54.506429777182205,0.23,0.152,0.191,26.5
-1.93858,115.00648,338.88,0.38,0.36,2024-08-01,545,N20,VIIRS,n,2,298.88,6.35,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Palangkaraya,Kalimantan Tengah,125.39048901445771,0.285,0.242,0.315,27.5
-2.37106,110.7812,328.24,0.53,0.42,2024-08-01,545,N20,VIIRS,n,2,292.11,2.13,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pangkalan Bun,Kalimantan Tengah,100.37873769931404,0.23,0.152,0.191,26.5
-1.4767,115.86189,330.97,0.39,0.36,2024-08-01,545,N20,VIIRS,l,2,301.06,5.19,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Balikpapan,Kalimantan Timur,113.15067233866606,0.37,0.365,0.347,27.7
-2.1667,110.98827,330.56,0.51,0.41,2024-08-01,545,N20,VIIRS,n,2,293.81,12.8,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pangkalan Bun,Kalimantan Tengah,92.04756038678559,0.23,0.152,0.191,26.5
-2.15221,110.9296,333.82,0.52,0.41,2024-08-01,545,N20,VIIRS,n,2,297.46,47.76,D,0,,Luar Kawasan KHG,,,Bukan Lahan Gambut (Tanah Mineral),0,,,0,1.0,Pangkalan Bun,Kalimantan Tengah,98.11612270818826,0.23,0.152,0.191,26.5
