date,city,province,latitude,longitude,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_temperature_0_to_7cm
2024-08-01,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.37,0.365,0.347,27.7
2024-08-02,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.386,0.37,0.34,27.1
2024-08-03,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.41,0.397,0.339,26.6
2024-08-04,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.394,0.393,0.344,27.7
2024-08-05,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.383,0.382,0.346,27.9
2024-08-06,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.402,0.394,0.348,26.6
2024-08-07,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.417,0.412,0.354,26.2
2024-08-08,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.412,0.41,0.361,26.4
2024-08-09,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.408,0.403,0.366,26.8
2024-08-10,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.386,0.386,0.366,27.3
2024-08-11,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.384,0.382,0.366,27.6
2024-08-12,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.39,0.386,0.364,27.0
2024-08-13,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.383,0.379,0.365,27.1
2024-08-14,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.385,0.379,0.364,27.1
2024-08-15,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.39,0.382,0.363,26.8
2024-08-16,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.379,0.375,0.361,27.4
2024-08-17,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.386,0.373,0.359,27.1
2024-08-18,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.375,0.365,0.357,26.8
2024-08-19,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.364,0.36,0.356,26.9
2024-08-20,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.393,0.37,0.358,26.6
2024-08-21,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.417,0.406,0.356,26.0
2024-08-22,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.426,0.419,0.362,25.0
2024-08-23,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.413,0.415,0.381,26.0
2024-08-24,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.397,0.399,0.384,26.5
2024-08-25,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.405,0.4,0.384,26.4
2024-08-26,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.392,0.39,0.383,26.9
2024-08-27,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.421,0.412,0.384,26.0
2024-08-28,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.42,0.421,0.392,26.0
2024-08-29,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.413,0.415,0.398,26.8
2024-08-30,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.412,0.414,0.401,26.5
2024-08-31,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.405,0.408,0.404,26.9
2024-09-01,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.389,0.394,0.404,27.4
2024-09-02,Balikpapan,Kalimantan Timur,-1.2379,116.8529,0.382,0.385,0.406,28.0
