province_name,city_name,district_name,school_name,stage,status,lat,long,province_area,total_population,total_education_age_population,has_valid_coord
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Barat,SD NEGERI 017 SIMPANG TIGA AURI,SD,N,3.312613,117.579559,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Utara,SDN 051 TARAKAN,SD,N,3.366876,117.577246,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Timur,SD IT MUSLIMAT 1 TARAKAN,SD,S,3.2939,117.595,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Tengah,SD NEGERI 004 SEBENGKOK,SD,N,3.2964,117.5904,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Timur,SD NEGERI 032 TG. BATU,SD,N,3.2755,117.6522,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Timur,SD NEGERI 012 GUNUNG LINGKAS,SD,N,3.2967,117.5983,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Tengah,SD NEGERI 026 SEBENGKOK AL,SD,N,3.3083,117.59,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Barat,SMP NEGERI 8 TARAKAN,SMP,N,3.3562,117.551,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Barat,SMP KRISTEN TUNAS KASIH,SMP,S,3.3303,117.591,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Tengah,SMAS PATRA DARMA,SMA,S,3.3088,117.6019,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Timur,SD NEGERI 027 Tarakan,SD,N,3.2647,117.6479,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Utara,SD YADITRA INTRACA,SD,S,3.3834,117.534,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Tengah,SMAS MUHAMMADIYAH TARAKAN,SMA,S,3.3095,117.6018,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Utara,SMP NEGERI 6 TARAKAN,SMP,N,3.41,117.599,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Barat,SMKN 2 TARAKAN,SMK,N,3.3394,117.5735,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Barat,SMK TERPADU CITRA BANGSA,SMK,S,,,75467,727755.0,245639,False
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Tengah,SDK FRATER DON BOSCO,SD,S,3.3074,117.57,75467,727755.0,245639,True
KALIMANTAN UTARA,Kota Tarakan,Kec. Tarakan Timur,SMP ISLAM TERPADU ULUL ALBAB,SMP,S,,,75467,727755.0,245639,False
